"Kod";"Nazwa";"ogółem;mieszkania;2021;[-]";"ogółem;izby;2021;[-]";"ogółem;powierzchnia użytkowa mieszkań;2021;[m2]";
0200000;"DOLNOŚLĄSKIE";1274214;4682296;90037310;
0400000;"KUJAWSKO-POMORSKIE";783551;2972943;55954374;
0600000;"LUBELSKIE";792244;3128380;62663253;
0800000;"LUBUSKIE";394927;1525873;28901638;
1000000;"ŁÓDZKIE";1048661;3863004;75053580;
1200000;"MAŁOPOLSKIE";1299582;5178845;104505975;
1400000;"MAZOWIECKIE";2443589;8910699;180062329;
1600000;"OPOLSKIE";362849;1515469;29681644;
1800000;"PODKARPACKIE";703380;2982755;59292950;
2000000;"PODLASKIE";464613;1876142;36244538;
2200000;"POMORSKIE";951143;3574260;69590139;
2400000;"ŚLĄSKIE";1825580;6922935;132183390;
2600000;"ŚWIĘTOKRZYSKIE";455180;1778630;35203311;
2800000;"WARMIŃSKO-MAZURSKIE";534573;2019130;37116185;
3000000;"WIELKOPOLSKIE";1328143;5400053;108520455;
3200000;"ZACHODNIOPOMORSKIE";697278;2584050;48810200;
