"Kod";"Nazwa";"ogółem;powierzchnia użytkowa mieszkań;2020;[m2]";
0200000;"DOLNOŚLĄSKIE";88641018;
0400000;"KUJAWSKO-POMORSKIE";55288425;
0600000;"LUBELSKIE";62097001;
0800000;"LUBUSKIE";28538479;
1000000;"ŁÓDZKIE";74219817;
1200000;"MAŁOPOLSKIE";103003355;
1400000;"MAZOWIECKIE";177171172;
1600000;"OPOLSKIE";29431497;
1800000;"PODKARPACKIE";58477780;
2000000;"PODLASKIE";35752737;
2200000;"POMORSKIE";68323918;
2400000;"ŚLĄSKIE";130828172;
2600000;"ŚWIĘTOKRZYSKIE";34878087;
2800000;"WARMIŃSKO-MAZURSKIE";36723326;
3000000;"WIELKOPOLSKIE";106622051;
3200000;"ZACHODNIOPOMORSKIE";48224642;
