"Kod";"Nazwa";"ludność w tysiącach;2020;[tys. osób]";
0200000;"DOLNOŚLĄSKIE";2908,38;
0400000;"KUJAWSKO-POMORSKIE";2031,55;
0600000;"LUBELSKIE";2056,91;
0800000;"LUBUSKIE";993,33;
1000000;"ŁÓDZKIE";2415,82;
1200000;"MAŁOPOLSKIE";3432,69;
1400000;"MAZOWIECKIE";5517,62;
1600000;"OPOLSKIE";955,84;
1800000;"PODKARPACKIE";2096,17;
2000000;"PODLASKIE";1156,59;
2200000;"POMORSKIE";2358,26;
2400000;"ŚLĄSKIE";4412,10;
2600000;"ŚWIĘTOKRZYSKIE";1199,58;
2800000;"WARMIŃSKO-MAZURSKIE";1385,62;
3000000;"WIELKOPOLSKIE";3507,04;
3200000;"ZACHODNIOPOMORSKIE";1661,07;
